#OTU ID	0CR1	0CRR	0HR1	0L3	0SR1	12CL1	12CL2	12CL3	12CL4g	12CL4	12CO1	12CO3	12CR1	12CR2	12CR3	12CR4	12H01	12HL1	12HL2	12HL3g	12HL3-strich	12HR1	12HR2	12HR3	12S02	12SL1	12SL2	12SL3	12SO1	12SO3	12SR1	12SR2	12SR3	3CL1	3CL2	3CL3	3CR1	3CR2	3CR3	3HL1	3HL2	3HR1	3HR2	3SL1	3SL2	3SL3	3SR1	3SR2	3SR3	6CL1	6CL2	6CL3	6CR1	6CR2	6CR3	6HL1	6HL2	6HL3	6HR1	6HR2	6HR3	6SL1	6SL2	6SL3	6SR1	6SR2	6SR3	9CL1	9CL2	9CL3	9CR1	9CR2	9CR3	9HL1	9HL2	9HL3	9HR1	9HR2	9HR3	9SL1	9SL2	9SR1	9SR2	9SR3	C-day-1	C-day-2a	C-day-2b	C-day-2c	C-day-3	C-day-4	CF	Mock1-L	Mock1-R	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC11	NC12	NC13	OL1	Consensus Lineage
ZOTU46	714	0	4082	0	235	0	1	1	0	0	392	319	1	0	0	0	1207	0	0	0	0	0	0	0	753	32	0	0	660	948	0	1	0	0	0	0	198	69	160	0	0	745	55	0	0	0	10	3	32	0	0	0	21	9	9	0	0	0	50	49	31	0	0	14	0	3	0	4	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
ZOTU74	2	0	4061	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	199	22	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	7	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU17	416	1	4	1	72	2	0	68	1	40	2800	7728	2055	2105	2	1923	1033	0	1	72	0	209	282	214	2456	173	3	0	2033	98	48	30	19	1	40	2	3485	1136	3881	382	2	92	10	2238	4	3	19	6	7	518	0	0	4666	1693	1934	2	25	1	47	55	46	2	0	0	57	11	6	82	103	372	1892	1317	1062	10	0	1	59	36	18	0	0	50	135	19	0	3	0	0	2	0	5	6	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU85	831	0	14	0	1002	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	194	0	0	0	182	123	0	1	0	0	0	0	66	20	28	0	0	1	2	0	0	0	2	1	0	1	0	0	2	2	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU34	941	2	6543	0	1062	0	0	0	0	0	1	14	0	0	0	1	99	0	0	0	0	2	0	0	3690	0	0	1	702	288	0	2	0	2	0	0	94	22	63	0	1	2032	121	0	0	0	4	0	87	0	0	0	11	3	7	0	0	0	137	144	136	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	6	4	1	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella; s__
ZOTU135	200	0	0	0	78	0	0	0	0	0	0	2	1	0	0	0	21	0	0	0	0	3	0	0	42	0	0	0	183	32	0	1	0	0	0	0	46	17	34	0	0	12	0	0	0	0	4	0	0	0	0	0	7	10	5	0	0	0	1	9	2	0	0	0	60	2	0	0	0	0	0	1	34	0	0	0	1	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__
ZOTU224	128	0	2	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	1	0	0	0	0	0	0	5	8	7	0	0	0	0	0	0	0	3	0	1	0	0	0	25	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__
ZOTU289	41	0	52	0	40	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU99	458	0	9	1	632	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	116	0	0	1	112	96	0	0	0	1	0	0	166	41	92	0	1	1	2	1	0	0	1	1	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU76	213	0	2504	0	157	0	0	0	0	0	0	0	0	0	0	0	4	139	0	0	0	0	0	2	36	0	0	0	38	31	2	0	1	0	0	0	34	0	26	0	0	626	51	4	0	0	2	0	34	5	0	62	7	28	7	0	0	0	45	43	67	0	0	0	1	1	0	0	0	0	5	12	0	0	32	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
ZOTU9	1267	0	2474	0	8889	0	1	2	5	3	111	371	1	3	4	0	154	2	6	0	0	5	1	6	16755	0	7	1	25863	26921	19	19	0	5	0	0	1296	305	1075	3	5	2132	191	2	269	1	97	46	135	5	0	0	128	116	160	3	0	0	370	311	282	1	2	2	9	14	4	0	0	0	19	25	10	1	2	4	48	14	30	2	1	24	2	7	0	0	2	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU153	375	0	20	0	78	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	20	45	0	0	0	0	0	0	46	11	74	0	0	2	0	0	0	0	5	1	1	0	0	0	56	11	17	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__
ZOTU137	72	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	240	46	0	0	0	1	0	0	37	7	16	0	0	0	0	0	0	0	6	0	0	0	0	1	4	5	1	1	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__
ZOTU241	54	0	0	0	89	0	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	5	0	0	0	0	0	0	6	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU208	45	0	34	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	0	6	0	0	0	0	0	0	0	13	4	17	0	0	80	6	0	0	0	0	1	3	0	0	0	21	1	2	0	0	0	27	42	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU102	432	0	0	1	188	0	0	27	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	272	1	0	0	190	247	0	3	1	0	1	0	77	21	54	1	0	0	1	0	1	0	2	2	0	0	0	0	10	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	290	0	0	8	0	0	2	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU180	340	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	4	7	0	0	0	0	0	0	25	9	9	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
ZOTU146	227	0	9	0	311	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	47	51	0	0	0	0	0	0	51	4	33	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
ZOTU239	83	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	6	7	12	0	0	0	0	0	0	0	1	0	0	0	0	0	45	7	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU157	244	0	80	0	128	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	84	36	0	0	0	0	0	0	21	4	21	0	0	3	0	0	0	0	1	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella; s__
ZOTU115	411	0	0	0	138	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	52	64	1	2	0	1	0	0	36	14	19	164	0	0	0	0	1	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	111	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	1	0	0	42	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
ZOTU234	73	0	0	1	53	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	18	22	0	0	0	0	0	0	13	3	12	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Weissella; s__
ZOTU142	151	0	2	0	69	0	0	0	0	0	0	9	0	0	0	0	63	0	0	0	0	1	0	0	101	0	0	0	70	105	0	0	0	0	0	0	75	9	42	0	0	7	0	1	0	0	0	0	0	0	0	0	8	3	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU111	92	0	0	0	72	0	0	1	0	0	0	1	0	0	0	0	0	212	0	0	0	0	0	0	57	1	0	0	28	29	0	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	768	0	1	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
ZOTU324	50	0	3	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
ZOTU136	56	0	0	0	54	0	0	0	0	0	102	21	1	0	0	0	0	1	0	0	0	0	4	0	99	0	0	0	77	105	0	1	0	0	0	0	10	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
ZOTU61	48	0	0	1	11	2	0	0	1	37	335	722	289	294	0	245	25	0	0	127	0	9	20	8	196	34	0	0	303	10	0	13	4	0	235	0	522	196	597	0	0	4	1	290	0	1	5	1	2	86	1	0	814	348	306	0	0	0	5	4	3	1	0	0	9	5	3	0	1	36	278	182	61	0	0	0	5	3	1	0	0	7	19	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU94	70	0	198	0	8	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	1	0	4	0	0	0	0	39	3	0	0	0	0	0	0	26	0	4	0	0	318	23	25	0	0	0	0	24	0	0	0	360	3	10	0	0	0	96	201	171	0	0	0	0	0	0	0	0	0	148	9	7	0	0	0	134	38	14	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU236	15	0	10	0	24	0	0	0	0	0	57	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU1	99	598	38	118	65	74	7	71	16	15	405	2592	4979	5477	58	3183	930	44	37	26	28	15473	17920	18898	22	175	479	27	105	47	10587	28554	6831	29	6	26	10207	6730	6906	8	34	10570	17228	3454	22	30	54351	26521	11171	48	4	7	22674	11907	12932	58	6	394	14040	19885	19630	10	18	9	23358	36411	19408	47	379	370	7935	7254	2539	32	30	20	34041	24148	15085	70	136	42020	35282	23628	740	7	19	1306	13	5	242	16	7	14	1175	0	3	4	524	0	2	41	5	1	28	7	56	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
ZOTU101	10	2	35	0	24	1	0	1	0	0	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	1	176	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU100	206	0	103	0	223	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	152	0	2	0	2	0	0	0	7	4	0	0	0	0	0	0	18	23	25	0	0	273	17	0	0	0	3	0	9	1	0	0	149	20	21	0	0	0	30	45	442	0	0	0	0	1	1	0	0	0	1	3	35	0	0	0	13	5	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__; f__; g__; s__
ZOTU160	34	0	31	0	51	0	0	0	0	0	174	308	0	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
ZOTU161	91	0	37	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	4	0	0	1	0	0	0	8	8	8	0	0	67	6	0	0	0	3	0	2	0	0	0	24	6	7	0	0	0	50	30	186	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	6	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__
ZOTU81	31	0	0	0	3	0	0	0	0	5	81	269	196	195	0	158	18	0	0	40	0	0	1	1	356	0	0	0	78	4	10	1	0	0	0	1	205	42	139	0	0	2	0	211	0	0	1	0	0	27	0	0	304	96	138	0	0	0	0	0	0	0	0	0	1	0	0	9	0	34	122	89	71	0	0	0	0	0	1	0	0	5	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
